theta,x1,x2
14.198365209902356,24002.240720038957,41531760556000014e-21
14.198484230002402,24002.240748917302,41813138763120644e-21
14.198603250102446,24002.240777781633,4209379913986559e-20
14.198722270202492,24002.240806631922,42373741569175325e-21
14.198841290302537,24002.240835468136,4265296593368166e-20
14.198960310402583,24002.24086429024,4293147211570621e-20
14.199079330502629,24002.240893098206,4320925999725888e-20
14.199198350602675,24002.240921892,43486329460036275e-21
14.199317370702719,24002.24095067159,4376268038542013e-20
14.199436390802765,24002.24097943694,44038312654475776e-21
14.19955541090281,24002.241008188023,4431322614795051e-20
14.199674431002856,24002.241036924803,4458742074627202e-20
14.199793451102902,24002.241065647246,4486089632954679e-20
14.199912471202946,24002.241094355322,4513365277755844e-20
14.200031491302992,24002.241123048996,45405689969766085e-21
14.200150511403038,24002.241151728234,456770077853027e-19
14.200269531503084,24002.241180393004,4594760610297347e-20
14.20038855160313,24002.24120904327,4621748480125409e-20
14.200507571703175,24002.241237678998,46486643758289076e-21
14.20062659180322,24002.241266300156,46755082851890085e-21
14.200745611903265,24002.241294906707,4702280195953416e-20
14.200864632003311,24002.24132349862,47289800958362014e-21
14.200983652103357,24002.241352075856,475560797251763e-19
14.201102672203403,24002.24138063838,4782163813643985e-20
14.201221692303447,24002.24140918616,4808647606827385e-20
14.201340712403493,24002.241437719164,48350593396456134e-21
14.201459732503539,24002.24146623735,48613989996419326e-21
14.201578752603584,24002.241494740683,4887666574324904e-20
14.20169777270363,24002.241523229128,4913862051168206e-20
14.201816792803676,24002.24155170265,4939985417610445e-20
14.20193581290372,24002.24158016121,4966036661054973e-20
14.202054833003766,24002.241608604778,49920157688696996e-21
14.202173853103812,24002.241637033312,50179227283868994e-21
14.202292873203858,24002.241665446778,5043757526903027e-20
14.202411893303903,24002.241693845135,5069520151678522e-20
14.202530913403947,24002.241722228347,50952105899376104e-21
14.202649933503993,24002.24175059638,5120828828868113e-20
14.20276895360404,24002.241778949192,5146374855621252e-20
14.202887973704085,24002.241807286748,51718486573114464e-21
14.20300699380413,24002.24183560901,51972502210161095e-21
14.203126013904177,24002.24186391594,5222579533775449e-20
14.20324503400422,24002.241892207498,5247836582592268e-20
14.203364054104267,24002.241920483648,5273021354431753e-20
14.203483074204312,24002.241948744348,52981338362212685e-21
14.203602094304358,24002.24197698956,53231740148501474e-21
14.203721114404404,24002.242005219246,5348141877169479e-20
14.203840134504448,24002.242033433366,5373037409991896e-20
14.203959154604494,24002.242061631878,5397860600091362e-20
14.20407817470454,24002.242089814743,5422611434202952e-20
14.204197194804586,24002.24211798192,54472898990226374e-21
14.204316214904631,24002.242146133372,547189598120706e-19
14.204435235004677,24002.242174269057,5496429667373315e-20
14.204554255104721,24002.242202388934,55208909440987244e-21
14.204673275204767,24002.24223049296,5545279797920609e-20
14.204792295304813,24002.242258581096,5569596215336064e-20
14.204911315404859,24002.242286653298,5593840182801725e-20
14.205030335504905,24002.242314709525,56180116867335376e-21
14.205149355604949,24002.242342749738,5642110713506523e-20
14.205268375704994,24002.242370773893,5666137249454541e-20
14.20538739580504,24002.242398781946,5690091280870048e-20
14.205506415905086,24002.242426773853,5713972794003864e-20
14.205625436005132,24002.242454749576,5737781775064921e-20
14.205744456105178,24002.24248270907,5761518210220024e-20
14.205863476205222,24002.242510652286,57851820855936e-18
14.205982496305268,24002.242538579187,5808773387267449e-20
14.206101516405313,24002.242566489727,5832292101280496e-20
14.20622053650536,24002.24259438386,585573821362853e-19
14.206339556605405,24002.242622261543,587911171026395e-19
14.20645857670545,24002.24265012273,59024125770955095e-21
14.206577596805495,24002.24267796738,592564079998805e-19
14.20669661690554,24002.242705795445,5948796364762241e-20
14.206815637005587,24002.242733606876,5971879257194311e-20
14.206934657105633,24002.24276140163,599488946301578e-19
14.207053677205678,24002.24278917966,6017826967913188e-20
14.207172697305722,24002.24281694092,6040691757527823e-20
14.207291717405768,24002.242844685366,6063483817455439e-20
14.207410737505814,24002.242872412946,60862031332459835e-21
14.20752975760586,24002.242900123616,610884969040331e-19
14.207648777705906,24002.24292781733,61314234743849e-18
14.20776779780595,24002.242955494035,6153924470601569e-20
14.207886817905996,24002.242983153687,6176352664417182e-20
14.208005838006041,24002.243010796235,6198708041148357e-20
14.208124858106087,24002.24303842163,6220990586064175e-20
14.208243878206133,24002.243066029827,6243200284385872e-20
14.208362898306179,24002.24309362077,6265337121286547e-20
14.208481918406223,24002.243121194417,6287401081890852e-20
14.208600938506269,24002.24314875071,6309392151274689e-20
14.208719958606315,24002.2431762896,6331310314464894e-20
14.20883897870636,24002.243203811042,6353155556438933e-20
14.208957998806406,24002.24323131498,6374927862124575e-20
14.20907701890645,24002.243258801365,6396627216399577e-20
14.209196039006496,24002.243286270146,6418253604091366e-20
14.209315059106542,24002.24331372127,6439807009976706e-20
14.209434079206588,24002.24334115468,6461287418781367e-20
14.209553099306634,24002.243368570333,6482694815179803e-20
14.20967211940668,24002.24339596817,6504029183794805e-20
14.209791139506724,24002.243423348136,6525290509197167e-20
14.20991015960677,24002.243450710183,654647877590534e-19
14.210029179706815,24002.24347805425,6567593968385094e-20
14.210148199806861,24002.243505380287,6588636071049154e-20
14.210267219906907,24002.24353268824,660960506825686e-19
14.210386240006951,24002.24355997805,6630500944313801e-20
14.210505260106997,24002.243587249664,6651323683471458e-20
14.210624280207043,24002.243614503026,6672073269926836e-20
14.210743300307088,24002.24364173808,6692749687822104e-20
14.210862320407134,24002.243668954772,6713352921244212e-20
14.21098134050718,24002.24369615304,6733882954224518e-20
14.211100360607224,24002.243723332827,675433977073841e-19
14.21121938070727,24002.243750494075,6774723354704921e-20
14.211338400807316,24002.24377763673,6795033689986339e-20
14.211457420907362,24002.24380476073,6815270760387818e-20
14.211576441007407,24002.243831866013,6835434549656977e-20
14.211695461107452,24002.243858952526,6855525041483497e-20
14.211814481207497,24002.243886020206,6875542219498725e-20
14.211933501307543,24002.243913068993,6895486067275255e-20
14.212052521407589,24002.243940098826,6915356568326518e-20
14.212171541507635,24002.243967109644,6935153706106362e-20
14.21229056160768,24002.243994101387,6954877464008627e-20
14.212409581707725,24002.24402107399,6974527825366717e-20
14.21252860180777,24002.244048027394,6994104773453175e-20
14.212647621907816,24002.244074961534,7013608291479238e-20
14.212766642007862,24002.244101876346,7033038362594386e-20
14.212885662107908,24002.244128771767,7052394969885913e-20
14.213004682207952,24002.244155647735,7071678096378463e-20
14.213123702307998,24002.244182504182,709088772503357e-19
14.213242722408044,24002.244209341046,7110023838749203e-20
14.21336174250809,24002.244236158258,7129086420359297e-20
14.213480762608135,24002.24426295575,7148075452633272e-20
14.21359978270818,24002.244289733462,7166990918275562e-20
14.213718802808225,24002.244316491324,7185832799925126e-20
14.213837822908271,24002.244343229268,7204601080154956e-20
14.213956843008317,24002.244369947224,722329574147159e-19
14.214075863108363,24002.244396645125,7241916766314602e-20
14.214194883208409,24002.2444233229,7260464137056096e-20
14.214313903308453,24002.24444998048,7278937836000196e-20
14.214432923408499,24002.244476617798,7297337845382524e-20
14.214551943508544,24002.24450323478,7315664147369673e-20
14.21467096360859,24002.244529831354,7333916724058676e-20
14.214789983708636,24002.24455640745,735209555747647e-19
14.21490900380868,24002.244582962998,7370200629579351e-20
14.215028023908726,24002.24460949792,7388231922252417e-20
14.215147044008772,24002.244636012147,7406189417309014e-20
14.215266064108818,24002.2446625056,7424073096490173e-20
14.215385084208863,24002.244688978208,744188294146404e-19
14.21550410430891,24002.244715429893,7459618933825283e-20
14.215623124408953,24002.24474186058,7477281055094525e-20
14.215742144508999,24002.244768270197,7494869286717736e-20
14.215861164609045,24002.24479465866,7512383610065642e-20
14.21598018470909,24002.244821025895,7529824006433115e-20
14.216099204809137,24002.24484737182,7547190457038551e-20
14.21621822490918,24002.244873696363,7564482943023255e-20
14.216337245009226,24002.244899999438,7581701445450808e-20
14.216456265109272,24002.244926280964,7598845945306413e-20
14.216575285209318,24002.244952540863,7615916423496271e-20
14.216694305309364,24002.244978779054,7632912860846907e-20
14.21681332540941,24002.245004995453,7649835238104515e-20
