x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,z,n,l,p,theta
155.63122397485174,-0.6349952304216279,5.927846617659695,-0.41361285431676065,-46.083288035140235,1.0,114.10544257997572,0.8,-78.10220515439258,-53.3921986190888,-1.4609759398522983,0.8631090164296872,0.0,748.3506133456929,0.00581821129678375,5.2062126152290935e-6,1.7508416548712935
155.63124704670682,-0.6321035915723198,5.92784680404274,-0.38507349239599,-46.53331900765577,1.0,114.10547289759009,0.8,-78.10217329549879,-53.39219783980744,-1.4609769239822967,0.8715378068396743,0.0,723.7841144291992,0.006350394951722849,5.944331737422494e-6,1.7843112131024577
155.63127271901936,-0.6292116306769268,5.927847016478233,-0.3564129438973813,-46.98340038001333,1.0,114.10550656065199,0.8,-78.1021378786077,-53.392196944729164,-1.4609780175032272,0.8799675433593764,0.0,700.6316307272721,0.006916383634181974,6.764047388858159e-6,1.8177807713336218
155.63130120771825,-0.626320276834207,5.927847257804255,-0.32764235019555826,-47.43338758265982,1.0,114.10554383507072,0.8,-78.1020986151395,-53.39219592029956,-1.4609792292182047,0.888395518578508,0.0,678.7832786113669,0.007517354027121827,7.67180750550908e-6,1.851250329564786
155.63133274011255,-0.6234304084813076,5.927847531079652,-0.29877239439919323,-47.88314393222744,1.0,114.10558499920471,0.8,-78.1020552023681,-53.3921947518098,-1.4609805683544286,0.8968191728174721,0.0,658.13975273289,0.008154486060723585,8.674356496548292e-6,1.8847198877959501
155.63136755511718,-0.6205428559099494,5.927847839593993,-0.26981331848695844,-48.33254023996828,1.0,114.10563034395174,0.8,-78.10200732326157,-53.392193423337034,-1.460982044567336,0.905236086795467,0.0,638.6111238599228,0.008828962519723227,9.778737403310687e-6,1.9181894460271138
155.63140590347246,-0.6176584036585251,5.9278481868776005,-0.24077493994968735,-48.78145443949766,1.0,114.10568017282463,0.8,-78.10195464633709,-53.39219191768398,-1.4609836679442962,0.9136439746602872,0.0,620.1157931178674,0.009541968687241387,1.0992293792256643e-5,1.951659004258278
155.63144804795766,-0.6147777927855945,5.927848576711633,-0.211666667929196,-49.22977123299285,1.0,114.10573480201252,0.8,-78.10189682553049,-53.3921902163178,-1.460985449007851,0.9220406773638437,0.0,602.5795798339518,0.010294692022715426,1.2322671397461614e-5,1.9851285624894421
155.631494263599,-0.6119017230301657,5.9278490131382275,-0.1824975188488521,-49.6773817550084,1.0,114.10579456042863,0.8,-78.10183350007958,-53.392188299308394,-1.4609873987185253,0.9304241563676813,0.0,585.9349238510215,0.011088321871663212,1.3777819527839292e-5,2.0185981207206063
155.63154483787193,-0.6090308548640322,5.927849500470677,-0.15327613153485128,-50.124183253087836,1.0,114.10585978974476,0.8,-78.10176429442103,-53.39218614526613,-1.4609895284772147,0.9387924876631402,0.0,570.120186199546,0.011924049205130119,1.5365992253922768e-5,2.0520676789517704
