thw;the;baseTn;Tn;TnPrima;baseTc;Tc;TcPrima;baseTl;Tl;TlPrima
7.250013755;9.996494716;183.2559661;257.3896592;0.41355509;-93.82794891;770.6359095;0.405293422;12.42856469;-324.8181696;0.768431484
7.263185591;9.996728005;181.7000005;258.0355232;0.416622658;-95.08936475;771.1471238;0.40524702;12.6045146;-324.6830402;0.76756653
7.276381358;9.996966826;180.1711885;258.674789;0.419668276;-96.33628265;771.6524031;0.405198118;12.78314823;-324.5460046;0.766696752
7.289601099;9.997211331;178.669091;259.3074425;0.422691781;-97.56873358;772.1517583;0.405146848;12.96450868;-324.4070355;0.765822122
7.302844857;9.997461608;177.1931199;259.9335385;0.425693321;-98.78688309;772.6452551;0.405093332;13.1486406;-324.266104;0.764942608
7.316112676;9.997717825;175.7428983;260.5530485;0.428672659;-99.99073031;773.1328921;0.405037696;13.3355884;-324.1231824;0.764058183
7.329404601;9.997980068;174.3178525;261.1660338;0.431629966;-101.1804496;773.614739;0.404980054;13.52539839;-323.9782407;0.763168811
7.342720674;9.998248518;172.9176496;261.7724581;0.43456496;-102.356021;774.090787;0.404920526;13.71811644;-323.8312506;0.762274467
7.356060941;9.998523254;171.541727;262.3723898;0.437477836;-103.5176296;774.5611105;0.404859216;13.91379053;-323.6821809;0.761375114
7.369425443;9.998804479;170.1898113;262.9657768;0.44036823;-104.6652208;775.0256873;0.404796242;14.11246796;-323.5310028;0.760470728
7.382814227;9.99909227;168.8613564;263.5526912;0.443236353;-105.7989842;775.4845938;0.4047317;14.31419843;-323.3776841;0.75956127
7.396227335;9.999386836;167.5561077;264.1330819;0.446081835;-106.9188643;775.9378078;0.404665702;14.5190309;-323.2221951;0.758646716
7.409664812;9.999688259;166.2735545;264.7070159;0.448904857;-108.0250371;776.3854008;0.404598339;14.72701675;-323.0645026;0.757727027
7.423126702;9.999996756;165.0134576;265.2744438;0.451705052;-109.1174482;776.827351;0.404529718;14.93820669;-322.9045761;0.756802177
7.43661305;10.00031241;163.7753411;265.8354267;0.454482568;-110.196259;777.2637244;0.404459925;15.15265377;-322.7423814;0.755872129
7.4501239;10.00063545;162.558979;266.3899173;0.457237041;-111.2614169;777.6945003;0.404389062;15.37041055;-322.5778871;0.754936856
7.463659296;10.00096597;161.3639289;266.9379706;0.459968586;-112.3130687;778.1197391;0.404317212;15.59153184;-322.4110581;0.753996319
7.477219284;10.0013042;160.1899766;267.4795415;0.462676844;-113.3511636;778.5394209;0.40424447;15.81607205;-322.2418619;0.753050491
7.490803907;10.00165023;159.0367113;268.0146789;0.465361898;-114.3758343;778.9536007;0.404170916;16.04408783;-322.0702626;0.752099334
7.504413211;10.00200431;157.9039305;268.5433394;0.46802339;-115.3870311;779.3622595;0.404096644;16.27563552;-321.8962266;0.75114282
7.51804724;10.00236654;156.7912531;269.0655661;0.470661373;-116.384873;779.7654467;0.404021727;16.51077366;-321.7197171;0.750180911
7.53170604;10.00273715;155.6984784;269.5813212;0.473275512;-117.3693196;780.1631474;0.403946256;16.74956068;-321.5406991;0.749213577
7.545389655;10.00311629;154.6252824;270.0906285;0.475865763;-118.3404498;780.5553949;0.403870304;16.99205684;-321.3591355;0.748240782
7.55909813;10.00350414;153.571402;270.5934864;0.478431961;-119.2982918;780.9422023;0.40379395;17.23832311;-321.1749891;0.747262492
7.572831511;10.00390093;152.5366518;271.089859;0.480973773;-120.2428067;781.3235554;0.403717277;17.48842103;-320.9882234;0.746278676
7.586589843;10.00430677;151.5206754;271.5797958;0.483491275;-121.1741203;781.699507;0.403640349;17.74241443;-320.7987986;0.745289294
7.600373171;10.00472197;150.5233823;272.0632214;0.485983941;-122.0921144;782.0700111;0.403563257;18.0003664;-320.6066783;0.74429432
7.61418154;10.0051466;149.544385;272.5402064;0.488451948;-122.996955;782.4351366;0.403486055;18.26234332;-320.4118208;0.743293711
7.628014997;10.00558099;148.5836281;273.0106634;0.490894708;-123.8884988;782.7948276;0.403408834;18.5284103;-320.2141889;0.742287441
7.641873586;10.00602523;147.6407469;273.4746586;0.493312374;-124.7669011;783.149149;0.403331647;18.79863594;-320.0137399;0.741275467
7.655757354;10.00647964;146.7156695;273.9321171;0.495704417;-125.6320418;783.4980543;0.403254578;19.07308785;-319.8104352;0.74025776
7.669666345;10.00694435;145.8081123;274.3830711;0.498070823;-126.4840083;783.8415809;0.403177687;19.35183643;-319.6042318;0.739234282
7.683600607;10.0074196;144.9179065;274.8274984;0.500411316;-127.322782;784.1797236;0.403101043;19.63495249;-319.3950881;0.738204998
7.697560184;10.00790565;144.0449053;275.2653682;0.502725576;-128.1483263;784.5124699;0.403024717;19.92250789;-319.1829621;0.737169876
7.711545123;10.00840265;143.188853;275.6967069;0.505013561;-128.9607152;784.8398518;0.402948765;20.21457665;-318.9678092;0.736128874
7.72555547;10.00891094;142.3496946;276.1214421;0.507274748;-129.75983;785.161824;0.402873267;20.51123246;-318.7495878;0.735081965
7.739591271;10.00943063;141.527131;276.5396268;0.509509223;-130.5457956;785.4784391;0.402798269;20.81255233;-318.5282509;0.734029105
7.753652572;10.00996209;140.721156;276.9511679;0.511716361;-131.3184519;785.7896349;0.402723854;21.11861217;-318.3037563;0.732970266
7.76773942;10.01050543;139.9314659;277.356126;0.513896287;-132.0779365;786.0954695;0.402650064;21.42949175;-318.0760556;0.731905405
7.78185186;10.01106104;139.158066;277.7544056;0.51604836;-132.8240838;786.3958784;0.402576982;21.7452696;-317.8451054;0.730834493
7.795989941;10.01162904;138.4006822;278.1460567;0.518172655;-133.55701;786.6909112;0.402504649;22.06602802;-317.6108561;0.729757488
7.810153707;10.0122098;137.6592972;278.5309991;0.520268606;-134.276578;786.9805149;0.402433143;22.39184854;-317.3732626;0.72867436
7.824343206;10.01280351;136.9337068;278.9092511;0.522336134;-134.982841;787.2647136;0.402362513;22.72281572;-317.1322753;0.727585067
7.838558485;10.01341046;136.2238144;279.2807772;0.524374892;-135.6757477;787.5434891;0.402292821;23.05901468;-316.8878458;0.726489577
7.85279959;10.01403094;135.5295251;279.6455427;0.52638454;-136.3552476;787.8168237;0.402224129;23.40053197;-316.6399251;0.725387852
7.867066568;10.01466518;134.8506709;280.0035532;0.528364938;-137.0213678;788.0847308;0.402156487;23.74745633;-316.388462;0.724279855
7.881359466;10.01531353;134.1872344;280.3547369;0.530315561;-137.6739848;788.3471633;0.402089966;24.09987662;-316.1334076;0.723165554
7.895678332;10.01597619;133.5390048;280.6991257;0.532236402;-138.3131757;788.6041546;0.402024606;24.4578851;-315.8747079;0.722044906
7.910023213;10.01665357;132.9060149;281.0366243;0.534126822;-138.9387709;788.8556392;0.401960483;24.82157324;-315.612314;0.720917882
7.924394155;10.01734582;132.2880359;281.3672781;0.535986884;-139.5508723;789.1016606;0.401897633;25.19103666;-315.3461697;0.719784439
7.938791206;10.01805341;131.685127;281.6909808;0.537815893;-140.1492877;789.3421439;0.401836132;25.5663698;-315.076225;0.718644546
7.953214414;10.01877647;131.0970628;282.0077797;0.539613928;-140.7341223;789.577134;0.401776014;25.94767152;-314.8024222;0.717498162
7.967663826;10.01951549;130.5239086;282.317568;0.541380294;-141.3051817;789.8065552;0.401717356;26.33503949;-314.52471;0.716345256
7.98213949;10.02027063;129.9654601;282.6203853;0.543115035;-141.8625554;790.030446;0.401660191;26.72857574;-314.2430294;0.715185786
7.996641453;10.02104234;129.421772;282.9161333;0.544817502;-142.4060645;790.2487368;0.401604592;27.12838146;-313.9573273;0.714019721
8.011169763;10.02183085;128.8926817;283.2048328;0.546487648;-142.9357608;790.461451;0.401550597;27.53456172;-313.6675441;0.71284702
8.025724469;10.02263658;128.3782022;283.4864107;0.548124957;-143.4515139;790.6685385;0.401498269;27.94722163;-313.373624;0.71166765
8.040305617;10.0234598;127.8782401;283.7608534;0.549729214;-143.9533079;790.8699952;0.401447655;28.36646914;-313.0755074;0.710481574
8.054913256;10.02430089;127.3927541;284.0281206;0.55130007;-144.4410745;791.065796;0.401398809;28.79241354;-312.7731354;0.709288756
8.069547435;10.02516021;126.9217194;284.288164;0.552837144;-144.9147305;791.2559098;0.401351785;29.2251657;-312.4664486;0.70808916
8.084208201;10.02603807;126.4650511;284.5409704;0.55434023;-145.3742588;791.440332;0.401306627;29.66483911;-312.1553852;0.706882749
8.098895603;10.02693491;126.0227771;284.7864655;0.555808819;-145.8195246;791.6190105;0.401263397;30.11154785;-311.8398856;0.70566949
8.113609689;10.02785099;125.5947829;285.0246553;0.557242812;-146.2505478;791.7919554;0.401222132;30.56540957;-311.5198852;0.704449343
8.128350507;10.02878682;125.1811359;285.2554464;0.558641609;-146.6671554;791.9590994;0.401182898;31.02654177;-311.1953241;0.703222277
8.143118106;10.02974262;124.7817039;285.4788581;0.560005184;-147.069392;792.1204624;0.401145726;31.49506626;-310.8661353;0.701988251
8.157912536;10.03071895;124.3965829;285.6947835;0.56133288;-147.457058;792.2759662;0.401110685;31.9711042;-310.532258;0.700747237
8.172733844;10.03171601;124.0256322;285.9032499;0.562624719;-147.8302123;792.4256362;0.401077803;32.45478157;-310.1936231;0.699499192
8.187582079;10.0327344;123.6689674;286.1041422;0.56388001;-148.1886385;792.5693875;0.40104715;32.94622338;-309.8501688;0.698244087
8.20245729;10.03377433;123.3264473;286.2974912;0.565098802;-148.5324012;792.7072477;0.40101875;33.44555979;-309.501824;0.696981882
8.217359527;10.03483639;122.9982001;286.4831772;0.566280391;-148.8612747;792.8391278;0.400992676;33.95291989;-309.1485257;0.695712549
